model,top_answer_agreement,margin_pearson,margin_spearman,dD_task,dD_stereo,dDelta_G,close_agreement,status
F-M1,0.6562,-0.2134,-0.0825,0.2692,0.3636,-0.0625,False,VALID_COMPLETE
F-M3,0.875,0.9467,0.956,-0.0714,-0.0769,0.0,False,VALID_COMPLETE
