model,condition,n_dense_correct,n_anti_dense_correct,D_task,D_task_lo,D_task_hi,D_stereo,D_stereo_lo,D_stereo_hi,Delta_G,Delta_G_lo,Delta_G_hi,dD_stereo_vs_rtn8,p_holm_H2
F-M1,rtn8,26,11,0.0385,0.0013,0.1188,0.0909,0.003,0.2862,0.0625,0.0022,0.2039,nan,
F-M1,rtn4,26,11,0.1538,0.0555,0.3006,0.1818,0.0299,0.4285,-0.125,-0.3682,0.1745,0.0909,
F-M1,gptq4,26,11,0.0769,0.008,0.2039,0.0,0.0,0.0,-0.1875,-0.3879,-0.0437,-0.0909,
F-M1,packed_gptq4,26,11,0.3462,0.1454,0.6313,0.3636,0.1378,0.6606,-0.25,-0.4379,-0.0848,nan,
F-M2,rtn8,29,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,
F-M2,rtn4,29,13,0.0345,0.0011,0.133,0.0,0.0,0.0,-0.1875,-0.4083,-0.0468,0.0,
F-M2,gptq4,29,13,0.0,0.0,0.0,0.0,0.0,0.0,-0.1875,-0.3951,-0.0473,0.0,
F-M3,rtn8,28,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,
F-M3,rtn4,28,13,0.0714,0.0101,0.1828,0.1538,0.0211,0.3996,0.0625,-0.112,0.2661,0.1538,
F-M3,gptq4,28,13,0.1429,0.0481,0.2713,0.2308,0.0529,0.4839,0.125,-0.1031,0.3615,0.2308,
F-M3,packed_gptq4,28,13,0.0714,0.0098,0.1611,0.1538,0.0218,0.3575,0.125,-0.0677,0.3693,nan,
