model,layers,n_rows,total_stereo_events,rho_flip,rho_flip_lo,rho_flip_hi,rho_stereo,rho_energy_stereo,diff_dir_minus_energy,diff_lo,diff_hi,p_holm_H4,p_holm_H5
F-M1,32,512,210,0.869,0.698,0.901,0.832,-0.248,1.08,0.688,1.216,0.0009995002498750624,0.0009995002498750624
F-M3,36,512,115,0.889,0.573,0.939,0.895,0.013,0.882,0.556,1.028,0.0009995002498750624,0.0009995002498750624
