model,layer,source,amp_ratio,amp_lo,amp_hi,logit_ratio,logit_lo,logit_hi,percentile_amp,close_to_random_amp
F-M1,0,gptq4,1.303,1.27,1.335,1.978,1.872,2.073,0.93,False
F-M1,0,rtn4,1.072,1.034,1.109,1.076,0.995,1.163,0.68,False
F-M1,0,rtn8,0.971,0.956,0.986,0.981,0.915,1.058,0.33,False
F-M1,4,gptq4,1.177,1.143,1.217,1.173,1.074,1.293,0.87,False
F-M1,4,rtn4,1.271,1.222,1.323,1.353,1.248,1.519,0.95,False
F-M1,4,rtn8,1.014,1.002,1.028,1.227,1.188,1.267,0.64,False
F-M1,9,gptq4,1.129,1.111,1.15,1.167,1.104,1.23,0.95,False
F-M1,9,rtn4,1.132,1.116,1.151,1.066,1.005,1.131,0.96,False
F-M1,9,rtn8,0.945,0.934,0.957,0.815,0.742,0.896,0.28,False
F-M1,13,gptq4,1.116,1.108,1.124,1.046,0.99,1.102,0.99,False
F-M1,13,rtn4,1.146,1.139,1.155,1.226,1.17,1.285,1.0,False
F-M1,13,rtn8,0.932,0.924,0.941,0.79,0.734,0.858,0.14,False
F-M1,18,gptq4,1.072,1.068,1.076,0.962,0.933,0.994,1.0,False
F-M1,18,rtn4,1.103,1.099,1.106,0.991,0.966,1.02,1.0,False
F-M1,18,rtn8,1.017,1.007,1.027,1.18,1.135,1.216,0.73,False
F-M1,22,gptq4,1.038,1.036,1.04,1.235,1.202,1.269,0.99,False
F-M1,22,rtn4,1.03,1.027,1.033,1.064,1.031,1.099,0.97,False
F-M1,22,rtn8,0.945,0.932,0.965,0.838,0.773,0.925,0.29,False
F-M1,27,gptq4,1.02,1.018,1.021,1.106,1.08,1.135,0.95,False
F-M1,27,rtn4,1.03,1.028,1.032,1.036,1.017,1.056,0.98,False
F-M1,27,rtn8,0.956,0.937,0.972,0.783,0.728,0.85,0.4,False
F-M1,31,gptq4,0.999,0.999,0.999,1.029,1.012,1.048,0.0,False
F-M1,31,rtn4,1.0,1.0,1.0,1.211,1.201,1.222,0.0,False
F-M1,31,rtn8,0.973,0.973,0.974,1.004,0.969,1.03,0.0,False
F-M3,0,gptq4,1.072,1.024,1.125,0.831,0.74,0.935,0.75,False
F-M3,0,rtn4,1.36,1.267,1.485,1.728,1.571,1.931,0.8,False
F-M3,0,rtn8,0.963,0.93,1.002,1.019,0.926,1.111,0.39,True
F-M3,5,gptq4,0.873,0.843,0.902,0.643,0.588,0.705,0.31,False
F-M3,5,rtn4,1.266,1.198,1.347,1.47,1.35,1.609,0.83,False
F-M3,5,rtn8,1.033,1.014,1.054,1.108,1.028,1.187,0.66,False
F-M3,10,gptq4,1.32,1.221,1.468,1.944,1.743,2.182,0.9,False
F-M3,10,rtn4,1.378,1.288,1.494,1.973,1.768,2.202,0.96,False
F-M3,10,rtn8,0.988,0.978,0.998,1.029,0.985,1.084,0.4,False
F-M3,15,gptq4,1.054,1.039,1.074,1.04,0.96,1.165,0.75,False
F-M3,15,rtn4,1.319,1.303,1.333,1.098,1.044,1.162,1.0,False
F-M3,15,rtn8,0.982,0.976,0.988,1.172,1.159,1.183,0.35,False
F-M3,20,gptq4,1.134,1.128,1.141,1.076,1.048,1.114,0.99,False
F-M3,20,rtn4,1.197,1.19,1.205,1.281,1.252,1.316,1.0,False
F-M3,20,rtn8,1.041,1.035,1.048,1.151,1.139,1.163,0.86,False
F-M3,25,gptq4,1.015,1.013,1.019,1.257,1.248,1.264,0.73,False
F-M3,25,rtn4,1.039,1.036,1.043,0.946,0.941,0.951,0.92,False
F-M3,25,rtn8,1.027,1.02,1.033,1.037,1.023,1.055,0.77,False
F-M3,30,gptq4,1.046,1.043,1.05,0.909,0.903,0.916,0.95,False
F-M3,30,rtn4,1.023,1.019,1.028,0.9,0.893,0.907,0.8,False
F-M3,30,rtn8,1.007,0.999,1.015,0.993,0.951,1.034,0.58,True
F-M3,35,gptq4,1.0,1.0,1.0,0.969,0.957,0.98,0.4,False
F-M3,35,rtn4,1.0,1.0,1.0,0.908,0.887,0.929,0.63,False
F-M3,35,rtn8,0.998,0.998,0.998,0.792,0.75,0.84,0.0,False
