model,top_answer_agreement,margin_pearson,margin_spearman,dD_task,dD_stereo,dDelta_G,close_agreement,status
F-M1,0.9334,0.9625,0.96,0.0038,0.0038,-0.0016,False,VALID_COMPLETE
F-M3,0.9335,0.9165,0.9026,-0.0219,-0.0376,-0.0235,False,VALID_COMPLETE
